,Unnamed: 0,index,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artists_upd_v1,artists_upd_v2,artists_upd,artists_song,consolidated_genre_lists,year,popularity_red,consolidated_genre_lists2,genre_filtered,genre_filtered2,year_bins,sim,url
6563,333748,339886,56F3ngwk3a42aLY0o5QgBF,Fala Comigo - Ao Vivo,81,140629,0,['Gusttavo Lima'],['7MiDcPa6UiV3In7lIM71IN'],2021-02-04,0.818,0.919,2,-3.013,1,0.0694,0.283,0.0,0.318,0.949,160.002,4,['Gusttavo Lima'],[],['Gusttavo Lima'],Gusttavo LimaFala Comigo - Ao Vivo,"['sertanejo', 'sertanejo universitario']",2021,16,"['sertanejo', 'sertanejo_universitario']",['others'],['others'],"(2011.714, 2021.0]",0.9555365247210386,https://i.scdn.co/image/ab67616d00001e02c65cac636afc12e0f311cbad
9146,475887,484417,4r9jkMEnArtWGH2rL2FZl0,A Tu Merced,81,175918,0,['Bad Bunny'],['4q3ewBCX7sLwd24euuV69X'],2020-02-28,0.86,0.791,0,-4.784,1,0.0568,0.169,0.000106,0.106,0.887,92.023,4,['Bad Bunny'],[],['Bad Bunny'],Bad BunnyA Tu Merced,"['latin', 'reggaeton', 'trap latino']",2020,16,"['latin', 'reggaeton', 'trap_latino']",['others'],['others'],"(2011.714, 2021.0]",0.9537523452643123,https://i.scdn.co/image/ab67616d00001e02548f7ec52da7313de0c5e4a0
2550,138818,141905,2tnVG71enUj33Ic2nFN6kZ,Ride It,87,157606,0,['Regard'],['4ofCBoyEiGSePFAG500xev'],2019-07-26,0.88,0.751,7,-4.258,0,0.0874,0.177,6.43e-05,0.106,0.884,117.948,4,['Regard'],[],['Regard'],RegardRide It,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']",2019,17,"['dance_pop', 'edm', 'pop_dance', 'pop_edm', 'slap_house', 'tropical_house']",['others'],['others'],"(2011.714, 2021.0]",0.9529676587553229,https://i.scdn.co/image/ab67616d00001e025c27813ae019011fcb370c78
435,27863,29072,2bgcUk2A3jjKbCJ7KPquTi,Mi Niña,87,213314,0,"['Wisin', 'Myke Towers', 'Los Legendarios']","['3E6xrwgnVfYCrCs0ePERDz', '7iK8PXO48WeuP03g8YR51W', '0n6sKrG0xKAf8xmdqeNGke']",2020-09-23,0.823,0.821,8,-3.402,0,0.166,0.31,4.28e-06,0.143,0.791,99.999,4,"['Wisin', 'Myke Towers', 'Los Legendarios']",[],"['Wisin', 'Myke Towers', 'Los Legendarios']",WisinMi Niña,"['latin', 'latin hip hop', 'reggaeton', 'trap latino', 'tropical']",2020,17,"['latin', 'latin_hip_hop', 'reggaeton', 'trap_latino', 'tropical']",['others'],['others'],"(2011.714, 2021.0]",0.9525897521402189,https://i.scdn.co/image/ab67616d00001e0200690a8308104ec86eee3dbb
2576,139678,142790,58pgi1RpcU2fVJsxhm7BIr,Tapão Na Raba,87,175047,0,['Raí Saia Rodada'],['0NiaKn55OzJswiYevvlKfz'],2021-01-22,0.808,0.796,1,-3.169,1,0.0305,0.462,0.000269,0.155,0.799,128.048,4,['Raí Saia Rodada'],[],['Raí Saia Rodada'],Raí Saia RodadaTapão Na Raba,['forro'],2021,17,['forro'],['others'],['others'],"(2011.714, 2021.0]",0.952320561208468,https://i.scdn.co/image/ab67616d00001e02c5c49306ff2d4f961e3b2d79
8118,428283,435926,27u7t9d7ZQoyjsCROHuZJ3,Tick Tock (feat. 24kGoldn),83,178374,0,"['Clean Bandit', 'Mabel', '24kGoldn']","['6MDME20pz9RveH9rEXvrOM', '1MIVXf74SZHmTIp4V4paH4', '6fWVd57NKTalqvmjRd2t8Z']",2020-08-21,0.779,0.705,0,-3.895,1,0.0344,0.369,7.91e-06,0.124,0.946,101.022,4,"['Clean Bandit', 'Mabel', '24kGoldn']",[],"['Clean Bandit', 'Mabel', '24kGoldn']",Clean BanditTick Tock (feat. 24kGoldn),"['dance pop', 'edm', 'pop', 'pop dance', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",2020,16,"['dance_pop', 'edm', 'pop', 'pop_dance', 'post-teen_pop', 'tropical_house', 'uk_dance', 'uk_funky']",['others'],['others'],"(2011.714, 2021.0]",0.9521620160959777,https://i.scdn.co/image/ab67616d00001e023ec9036a9f7289e924194bec
4984,248999,253898,11EnQRgRMJwMAesfkB5pnu,Se Te Nota (with Guaynaa),85,155825,0,"['Lele Pons', 'Guaynaa']","['6i3DxIlAqnDkwELLw4aVrx', '0BqURncJM5B1BBu7UM51eq']",2020-09-02,0.905,0.686,0,-3.152,1,0.0664,0.0907,0.0,0.266,0.963,103.013,4,"['Lele Pons', 'Guaynaa']",[],"['Lele Pons', 'Guaynaa']",Lele PonsSe Te Nota (with Guaynaa),"['latin pop', 'viral pop']",2020,17,"['latin_pop', 'viral_pop']",['others'],['others'],"(2011.714, 2021.0]",0.9520563834223884,https://i.scdn.co/image/ab67616d00001e02b7ca812abc74e09faeeadbb7
7350,391072,397924,7qiZfU4dY1lWllzX7mPBI3,Shape of You,87,233713,0,['Ed Sheeran'],['6eUKZXaKkcviH0Ku9w2n3V'],2017-03-03,0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,4,['Ed Sheeran'],[],['Ed Sheeran'],Ed SheeranShape of You,"['pop', 'uk pop']",2017,17,"['pop', 'uk_pop']",['others'],['others'],"(2011.714, 2021.0]",0.9519020631489993,https://i.scdn.co/image/ab67616d00001e02ba5db46f4b838ef6027e6f96
263,20714,21527,7L6G0wpIUiPXuvoo7qhb06,oops!,80,139760,1,['Yung Gravy'],['2YOYua8FpudSEiB9s88IgQ'],2020-10-02,0.886,0.743,6,-6.797,0,0.0812,0.0358,0.000198,0.0511,0.941,131.902,4,['Yung Gravy'],[],['Yung Gravy'],Yung Gravyoops!,"['meme rap', 'minnesota hip hop', 'pop rap']",2020,16,"['meme_rap', 'minnesota_hip_hop', 'pop_rap']",['others'],['others'],"(2011.714, 2021.0]",0.951781732141326,https://i.scdn.co/image/ab67616d00001e02c5e844c860c9717785b7aaa2
3207,170419,174013,7MoZgM6AsQaZw14WnKopuy,Miedito o Qué? (feat. KAROL G),80,209905,0,"['Ovy On The Drums', 'Danny Ocean', 'KAROL G']","['3m5qlPf2OkihLz3dRYnkPA', '5H1nN1SzW0qNeUEZvuXjAj', '790FomKkXshlbRYZFtlgla']",2020-11-25,0.851,0.776,6,-3.254,1,0.0561,0.12,0.0,0.1,0.804,95.995,4,"['Ovy On The Drums', 'Danny Ocean', 'KAROL G']",[],"['Ovy On The Drums', 'Danny Ocean', 'KAROL G']",Ovy On The DrumsMiedito o Qué? (feat. KAROL G),"['colombian pop', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano']",2020,16,"['colombian_pop', 'latin', 'latin_pop', 'reggaeton', 'reggaeton_colombiano']",['others'],['others'],"(2011.714, 2021.0]",0.9509435400222528,https://i.scdn.co/image/ab67616d00001e0291bf841d145c10014e88ea6c
